freq,Reach,Date,dominant_veg,ltbg,system
0,Upper New Channel Reach,10/28/2021,Open,NA,Comal
0,Upper New Channel Reach,10/28/2021,Hygrophila,NA,Comal
0,Upper New Channel Reach,10/28/2021,Hygrophila,NA,Comal
1,Upper New Channel Reach,10/28/2021,Open,NA,Comal
0,Landa Lake,10/26/2021,Ludwigia,7,Comal
0,Old Channel Reach,10/26/2021,Open,NA,Comal
0,Old Channel Reach,10/26/2021,Open,NA,Comal
0,Old Channel Reach,10/26/2021,Ludwigia,7,Comal
55,Landa Lake,10/26/2021,Filamentous Algae,NA,Comal
41,Landa Lake,10/26/2021,Filamentous Algae,NA,Comal
6,Landa Lake,10/26/2021,Ludwigia,7,Comal
26,Landa Lake,10/26/2021,Cabomba,7,Comal
33,Landa Lake,10/26/2021,Cabomba,7,Comal
49,Old Channel Reach,10/26/2021,Bryophytes,20,Comal
27,Old Channel Reach,10/26/2021,Bryophytes,20,Comal
23,Old Channel Reach,10/26/2021,Cabomba,7,Comal
20,Old Channel Reach,10/26/2021,Cabomba,7,Comal
4,Old Channel Reach,10/26/2021,Ludwigia,7,Comal
0,Upper Spring Run,10/25/2021,Ludwigia,7,Comal
0,Upper Spring Run,10/25/2021,Open,NA,Comal
0,Upper Spring Run,10/25/2021,Open,NA,Comal
0,Upper Spring Run,10/25/2021,Sagittaria,1,Comal
0,Upper Spring Run,10/25/2021,Sagittaria,1,Comal
0,Landa Lake,10/25/2021,Sagittaria,1,Comal
0,Landa Lake,10/25/2021,Open,NA,Comal
0,Landa Lake,10/25/2021,Open,NA,Comal
0,Landa Lake,10/25/2021,Vallisneria,1,Comal
5,Upper Spring Run,10/25/2021,Ludwigia,7,Comal
1,Upper Spring Run,10/25/2021,Bryophytes,20,Comal
6,Upper Spring Run,10/25/2021,Bryophytes,20,Comal
2,Landa Lake,10/25/2021,Sagittaria,1,Comal
1,Landa Lake,10/25/2021,Vallisneria,1,Comal
0,Upper New Channel Reach,5/6/2021,Open,NA,Comal
0,Upper New Channel Reach,5/6/2021,Open,NA,Comal
27,Upper New Channel Reach,5/6/2021,Hygrophila,NA,Comal
1,Upper New Channel Reach,5/6/2021,Hygrophila,NA,Comal
0,Old Channel Reach,5/5/2021,Open,NA,Comal
144,Old Channel Reach,5/5/2021,Cabomba,7,Comal
21,Old Channel Reach,5/5/2021,Cabomba,7,Comal
45,Old Channel Reach,5/5/2021,Bryophytes,20,Comal
2,Old Channel Reach,5/5/2021,Open,NA,Comal
47,Old Channel Reach,5/5/2021,Bryophytes,20,Comal
30,Old Channel Reach,5/5/2021,Ludwigia,7,Comal
27,Old Channel Reach,5/5/2021,Ludwigia,7,Comal
1,Landa Lake,5/5/2021,Open,NA,Comal
3,Landa Lake,5/5/2021,Ludwigia,7,Comal
94,Landa Lake,5/5/2021,Ludwigia,7,Comal
115,Landa Lake,5/5/2021,Bryophytes,20,Comal
86,Landa Lake,5/5/2021,Bryophytes,20,Comal
3,Landa Lake,5/5/2021,Open,NA,Comal
0,Upper Spring Run,5/4/2021,Open,NA,Comal
0,Upper Spring Run,5/4/2021,Open,NA,Comal
0,Upper Spring Run,5/4/2021,Bryophytes,20,Comal
0,Upper Spring Run,5/4/2021,Sagittaria,1,Comal
0,Landa Lake,5/4/2021,Sagittaria,1,Comal
2,Upper Spring Run,5/4/2021,Bryophytes,20,Comal
12,Upper Spring Run,5/4/2021,Ludwigia,7,Comal
1,Upper Spring Run,5/4/2021,Sagittaria,1,Comal
11,Landa Lake,5/4/2021,Vallisneria,1,Comal
172,Landa Lake,5/4/2021,Cabomba,7,Comal
62,Landa Lake,5/4/2021,Cabomba,7,Comal
3,Landa Lake,5/4/2021,Vallisneria,1,Comal
34,Landa Lake,5/4/2021,Sagittaria,1,Comal
0,Upper New Channel Reach,10/30/2020,Open,NA,Comal
0,Upper New Channel Reach,10/30/2020,Open,NA,Comal
0,Upper New Channel Reach,10/30/2020,Ludwigia,7,Comal
4,Upper New Channel Reach,10/30/2020,Hygrophila,NA,Comal
3,Upper New Channel Reach,10/30/2020,Hygrophila,NA,Comal
2,Upper New Channel Reach,10/30/2020,Cabomba,7,Comal
4,Upper New Channel Reach,10/30/2020,Cabomba,7,Comal
1,Upper New Channel Reach,10/30/2020,Ludwigia,7,Comal
0,Landa Lake,10/29/2020,Sagittaria,1,Comal
10,Old Channel Reach,10/29/2020,Bryophytes,20,Comal
9,Old Channel Reach,10/29/2020,Cabomba,7,Comal
19,Old Channel Reach,10/29/2020,Cabomba,7,Comal
2,Old Channel Reach,10/29/2020,Open,NA,Comal
2,Old Channel Reach,10/29/2020,Open,NA,Comal
NA,Old Channel Reach,10/29/2020,Bryophytes,20,Comal
10,Old Channel Reach,10/29/2020,Ludwigia,7,Comal
7,Old Channel Reach,10/29/2020,Ludwigia,7,Comal
38,Landa Lake,10/29/2020,Cabomba,7,Comal
2,Landa Lake,10/29/2020,Cabomba,7,Comal
3,Landa Lake,10/29/2020,Sagittaria,1,Comal
0,Upper Spring Run,10/28/2020,Sagittaria,1,Comal
0,Upper Spring Run,10/28/2020,Sagittaria,1,Comal
0,Upper Spring Run,10/28/2020,Open,NA,Comal
0,Upper Spring Run,10/28/2020,Open,NA,Comal
0,Upper Spring Run,10/28/2020,Bryophytes,20,Comal
0,Landa Lake,10/28/2020,Vallisneria,1,Comal
0,Landa Lake,10/28/2020,Vallisneria,1,Comal
0,Landa Lake,10/28/2020,Open,NA,Comal
2,Upper Spring Run,10/28/2020,Ludwigia,7,Comal
2,Upper Spring Run,10/28/2020,Bryophytes,20,Comal
1,Upper Spring Run,10/28/2020,Ludwigia,7,Comal
1,Landa Lake,10/28/2020,Open,NA,Comal
13,Landa Lake,10/28/2020,Bryophytes,20,Comal
19,Landa Lake,10/28/2020,Bryophytes,20,Comal
3,Landa Lake,10/28/2020,Ludwigia,7,Comal
1,Landa Lake,10/28/2020,Ludwigia,7,Comal
0,Upper New Channel Reach,5/5/2020,Open,NA,Comal
0,Upper New Channel Reach,5/5/2020,Open,NA,Comal
17,Upper New Channel Reach,5/5/2020,Hygrophila,NA,Comal
6,Upper New Channel Reach,5/5/2020,Hygrophila,NA,Comal
2,Upper New Channel Reach,5/5/2020,Bryophytes,20,Comal
36,Upper New Channel Reach,5/5/2020,Cabomba,7,Comal
36,Upper New Channel Reach,5/5/2020,Cabomba,7,Comal
9,Upper New Channel Reach,5/5/2020,Bryophytes,20,Comal
0,Old Channel Reach,5/1/2020,Open,NA,Comal
0,Old Channel Reach,5/1/2020,Open,NA,Comal
43,Old Channel Reach,5/1/2020,Cabomba,7,Comal
47,Old Channel Reach,5/1/2020,Cabomba,7,Comal
58,Old Channel Reach,5/1/2020,Ludwigia,7,Comal
38,Old Channel Reach,5/1/2020,Bryophytes,20,Comal
8,Old Channel Reach,5/1/2020,Bryophytes,20,Comal
29,Old Channel Reach,5/1/2020,Ludwigia,7,Comal
0,Upper Spring Run,4/30/2020,Sagittaria,1,Comal
0,Upper Spring Run,4/30/2020,Sagittaria,1,Comal
0,Upper Spring Run,4/30/2020,Ludwigia,7,Comal
0,Upper Spring Run,4/30/2020,Open,NA,Comal
0,Upper Spring Run,4/30/2020,Ludwigia,7,Comal
0,Landa Lake,4/30/2020,Open,NA,Comal
23,Upper Spring Run,4/30/2020,Bryophytes,20,Comal
36,Upper Spring Run,4/30/2020,Bryophytes,20,Comal
4,Upper Spring Run,4/30/2020,Open,NA,Comal
24,Landa Lake,4/30/2020,Vallisneria,1,Comal
34,Landa Lake,4/30/2020,Vallisneria,1,Comal
19,Landa Lake,4/30/2020,Open,NA,Comal
31,Landa Lake,4/30/2020,Cabomba,7,Comal
31,Landa Lake,4/30/2020,Cabomba,7,Comal
19,Landa Lake,4/30/2020,Sagittaria,1,Comal
30,Landa Lake,4/30/2020,Sagittaria,1,Comal
124,Landa Lake,4/30/2020,Bryophytes,20,Comal
102,Landa Lake,4/30/2020,Bryophytes,20,Comal
7,Landa Lake,4/30/2020,Ludwigia,7,Comal
27,Landa Lake,4/30/2020,Ludwigia,7,Comal
0,Upper New Channel Reach,11/6/2019,Open,NA,Comal
0,Upper New Channel Reach,11/6/2019,Open,NA,Comal
2,Upper New Channel Reach,11/6/2019,Bryophytes,20,Comal
6,Upper New Channel Reach,11/6/2019,Hygrophila,NA,Comal
4,Upper New Channel Reach,11/6/2019,Cabomba,7,Comal
1,Upper New Channel Reach,11/6/2019,Hygrophila,NA,Comal
9,Upper New Channel Reach,11/6/2019,Cabomba,7,Comal
11,Upper New Channel Reach,11/6/2019,Bryophytes,20,Comal
0,Landa Lake,11/5/2019,Open,NA,Comal
0,Landa Lake,11/5/2019,Open,NA,Comal
0,Old Channel Reach,11/5/2019,Open,NA,Comal
0,Old Channel Reach,11/5/2019,Ludwigia,7,Comal
0,Old Channel Reach,11/5/2019,Open,NA,Comal
70,Landa Lake,11/5/2019,Sagittaria,1,Comal
2,Landa Lake,11/5/2019,Sagittaria,1,Comal
1,Landa Lake,11/5/2019,Ludwigia,7,Comal
4,Landa Lake,11/5/2019,Vallisneria,1,Comal
29,Landa Lake,11/5/2019,Ludwigia,7,Comal
33,Old Channel Reach,11/5/2019,Cabomba,7,Comal
26,Old Channel Reach,11/5/2019,Cabomba,7,Comal
12,Old Channel Reach,11/5/2019,Ludwigia,7,Comal
56,Old Channel Reach,11/5/2019,Bryophytes,20,Comal
18,Old Channel Reach,11/5/2019,Bryophytes,20,Comal
0,Upper Spring Run,11/4/2019,Sagittaria,1,Comal
0,Upper Spring Run,11/4/2019,Sagittaria,1,Comal
0,Upper Spring Run,11/4/2019,Open,NA,Comal
0,Landa Lake,11/4/2019,Cabomba,7,Comal
90,Upper Spring Run,11/4/2019,Bryophytes,20,Comal
1,Upper Spring Run,11/4/2019,Open,NA,Comal
27,Upper Spring Run,11/4/2019,Bryophytes,20,Comal
4,Upper Spring Run,11/4/2019,Ludwigia,7,Comal
1,Upper Spring Run,11/4/2019,Ludwigia,7,Comal
56,Landa Lake,11/4/2019,Bryophytes,20,Comal
70,Landa Lake,11/4/2019,Bryophytes,20,Comal
4,Landa Lake,11/4/2019,Vallisneria,1,Comal
38,Landa Lake,11/4/2019,Cabomba,7,Comal
0,Upper New Channel Reach,5/1/2019,Open,NA,Comal
0,Upper New Channel Reach,5/1/2019,Open,NA,Comal
205,Upper New Channel Reach,5/1/2019,Bryophytes,20,Comal
34,Upper New Channel Reach,5/1/2019,Hygrophila,NA,Comal
15,Upper New Channel Reach,5/1/2019,Hygrophila,NA,Comal
46,Upper New Channel Reach,5/1/2019,Bryophytes,20,Comal
0,Landa Lake,4/30/2019,Open,NA,Comal
0,Old Channel Reach,4/30/2019,Open,NA,Comal
21,Landa Lake,4/30/2019,Cabomba,7,Comal
2,Landa Lake,4/30/2019,Vallisneria,1,Comal
23,Landa Lake,4/30/2019,Cabomba,7,Comal
5,Landa Lake,4/30/2019,Vallisneria,1,Comal
4,Landa Lake,4/30/2019,Open,NA,Comal
46,Old Channel Reach,4/30/2019,Cabomba,7,Comal
53,Old Channel Reach,4/30/2019,Cabomba,7,Comal
86,Old Channel Reach,4/30/2019,Ludwigia,7,Comal
30,Old Channel Reach,4/30/2019,Bryophytes,20,Comal
53,Old Channel Reach,4/30/2019,Bryophytes,20,Comal
8,Old Channel Reach,4/30/2019,Ludwigia,7,Comal
4,Old Channel Reach,4/30/2019,Open,NA,Comal
0,Upper Spring Run,4/29/2019,Sagittaria,1,Comal
0,Upper Spring Run,4/29/2019,Sagittaria,1,Comal
0,Upper Spring Run,4/29/2019,Open,NA,Comal
0,Upper Spring Run,4/29/2019,Open,NA,Comal
89,Upper Spring Run,4/29/2019,Bryophytes,20,Comal
36,Upper Spring Run,4/29/2019,Bryophytes,20,Comal
4,Upper Spring Run,4/29/2019,Ludwigia,7,Comal
2,Upper Spring Run,4/29/2019,Ludwigia,7,Comal
113,Landa Lake,4/29/2019,Bryophytes,20,Comal
115,Landa Lake,4/29/2019,Bryophytes,20,Comal
79,Landa Lake,4/29/2019,Sagittaria,1,Comal
3,Landa Lake,4/29/2019,Sagittaria,1,Comal
33,Landa Lake,4/29/2019,Ludwigia,7,Comal
124,Landa Lake,4/29/2019,Ludwigia,7,Comal
0,Upper New Channel Reach,10/31/2018,Open,NA,Comal
0,Upper New Channel Reach,10/31/2018,Open,NA,Comal
11,Upper New Channel Reach,10/31/2018,Bryophytes,20,Comal
4,Upper New Channel Reach,10/31/2018,Hygrophila,NA,Comal
15,Upper New Channel Reach,10/31/2018,Hygrophila,NA,Comal
2,Upper New Channel Reach,10/31/2018,Cabomba,7,Comal
8,Upper New Channel Reach,10/31/2018,Cabomba,7,Comal
48,Upper New Channel Reach,10/31/2018,Bryophytes,20,Comal
0,Landa Lake,10/30/2018,Open,NA,Comal
0,Landa Lake,10/30/2018,Sagittaria,1,Comal
0,Old Channel Reach,10/30/2018,Open,NA,Comal
11,Landa Lake,10/30/2018,Sagittaria,1,Comal
39,Landa Lake,10/30/2018,Cabomba,7,Comal
7,Landa Lake,10/30/2018,Open,NA,Comal
59,Landa Lake,10/30/2018,Cabomba,7,Comal
23,Old Channel Reach,10/30/2018,Cabomba,7,Comal
23,Old Channel Reach,10/30/2018,Cabomba,7,Comal
35,Old Channel Reach,10/30/2018,Ludwigia,7,Comal
23,Old Channel Reach,10/30/2018,Bryophytes,20,Comal
3,Old Channel Reach,10/30/2018,Open,NA,Comal
90,Old Channel Reach,10/30/2018,Bryophytes,20,Comal
7,Old Channel Reach,10/30/2018,Ludwigia,7,Comal
0,Upper Spring Run,10/29/2018,Open,NA,Comal
0,Upper Spring Run,10/29/2018,Sagittaria,1,Comal
0,Upper Spring Run,10/29/2018,Sagittaria,1,Comal
0,Upper Spring Run,10/29/2018,Open,NA,Comal
57,Upper Spring Run,10/29/2018,Bryophytes,20,Comal
18,Upper Spring Run,10/29/2018,Bryophytes,20,Comal
130,Landa Lake,10/29/2018,Bryophytes,20,Comal
132,Landa Lake,10/29/2018,Bryophytes,20,Comal
8,Landa Lake,10/29/2018,Vallisneria,1,Comal
12,Landa Lake,10/29/2018,Vallisneria,1,Comal
24,Landa Lake,10/29/2018,Ludwigia,7,Comal
4,Landa Lake,10/29/2018,Ludwigia,7,Comal
0,Old Channel Reach,5/3/2018,Open,NA,Comal
4,Old Channel Reach,5/3/2018,Bryophytes,20,Comal
37,Old Channel Reach,5/3/2018,Ludwigia,7,Comal
16,Old Channel Reach,5/3/2018,Ludwigia,7,Comal
1,Old Channel Reach,5/3/2018,Open,NA,Comal
0,Landa Lake,5/2/2018,Sagittaria,1,Comal
0,Landa Lake,5/2/2018,Open,NA,Comal
0,Upper New Channel Reach,5/2/2018,Open,NA,Comal
0,Upper New Channel Reach,5/2/2018,Open,NA,Comal
6,Landa Lake,5/2/2018,Ludwigia,7,Comal
116,Landa Lake,5/2/2018,Ludwigia,7,Comal
45,Landa Lake,5/2/2018,Sagittaria,1,Comal
76,Landa Lake,5/2/2018,Open,NA,Comal
83,Landa Lake,5/2/2018,Bryophytes,20,Comal
47,Landa Lake,5/2/2018,Bryophytes,20,Comal
22,Old Channel Reach,5/2/2018,Bryophytes,20,Comal
20,Upper New Channel Reach,5/2/2018,Hygrophila,NA,Comal
16,Upper New Channel Reach,5/2/2018,Bryophytes,20,Comal
7,Upper New Channel Reach,5/2/2018,Hygrophila,NA,Comal
0,Upper Spring Run,5/1/2018,Sagittaria,1,Comal
0,Upper Spring Run,5/1/2018,Sagittaria,1,Comal
0,Upper Spring Run,5/1/2018,Open,NA,Comal
104,Upper Spring Run,5/1/2018,Bryophytes,20,Comal
32,Upper Spring Run,5/1/2018,Ludwigia,7,Comal
118,Upper Spring Run,5/1/2018,Bryophytes,20,Comal
1,Upper Spring Run,5/1/2018,Open,NA,Comal
8,Upper Spring Run,5/1/2018,Ludwigia,7,Comal
13,Landa Lake,5/1/2018,Vallisneria,1,Comal
64,Landa Lake,5/1/2018,Cabomba,7,Comal
7,Landa Lake,5/1/2018,Cabomba,7,Comal
26,Landa Lake,5/1/2018,Vallisneria,1,Comal
0,Upper New Channel Reach,10/25/2017,Open,NA,Comal
0,Upper New Channel Reach,10/25/2017,Hygrophila,NA,Comal
