River	Reach	Date	Group	Veg	Coverage
CR	USR	04-2013	A	Algae	0
CR	USR	10-2013	A	Algae	0
CR	USR	04-2014	A	Algae	0
CR	USR	10-2014	A	Algae	0
CR	USR	04-2015	A	Algae	0
CR	USR	10-2015	A	Algae	0
CR	USR	04-2016	A	Algae	18
CR	USR	10-2016	A	Algae	16
CR	USR	04-2017	A	Algae	0
CR	USR	10-2017	A	Algae	0
CR	USR	04-2018	A	Algae	552
CR	USR	10-2018	A	Algae	139
CR	USR	04-2019	A	Algae	484
CR	USR	10-2019	A	Algae	724
CR	USR	04-2020	A	Algae	1152
CR	USR	10-2020	A	Algae	1140
CR	USR	04-2021	A	Algae	1059
CR	USR	10-2021	A	Algae	0
CR	USR	04-2013	A	Bryophyte	908
CR	USR	10-2013	A	Bryophyte	185
CR	USR	04-2014	A	Bryophyte	736
CR	USR	10-2014	A	Bryophyte	75
CR	USR	04-2015	A	Bryophyte	244
CR	USR	10-2015	A	Bryophyte	281
CR	USR	04-2016	A	Bryophyte	749
CR	USR	10-2016	A	Bryophyte	681
CR	USR	04-2017	A	Bryophyte	1944
CR	USR	10-2017	A	Bryophyte	1066
CR	USR	04-2018	A	Bryophyte	1463
CR	USR	10-2018	A	Bryophyte	914
CR	USR	04-2019	A	Bryophyte	992
CR	USR	10-2019	A	Bryophyte	687
CR	USR	04-2020	A	Bryophyte	298
CR	USR	10-2020	A	Bryophyte	0
CR	USR	04-2021	A	Bryophyte	0
CR	USR	10-2021	A	Bryophyte	171
CR	USR	04-2013	A	Cabomba	0
CR	USR	10-2013	A	Cabomba	0
CR	USR	04-2014	A	Cabomba	0
CR	USR	10-2014	A	Cabomba	0
CR	USR	04-2015	A	Cabomba	5
CR	USR	10-2015	A	Cabomba	10
CR	USR	04-2016	A	Cabomba	3
CR	USR	10-2016	A	Cabomba	9
CR	USR	04-2017	A	Cabomba	8
CR	USR	10-2017	A	Cabomba	4
CR	USR	04-2018	A	Cabomba	0
CR	USR	10-2018	A	Cabomba	0
CR	USR	04-2019	A	Cabomba	0
CR	USR	10-2019	A	Cabomba	0
CR	USR	04-2020	A	Cabomba	0
CR	USR	10-2020	A	Cabomba	0
CR	USR	04-2021	A	Cabomba	0
CR	USR	10-2021	A	Cabomba	1
CR	USR	04-2013	A	Hygrophila	277
CR	USR	10-2013	A	Hygrophila	0
CR	USR	04-2014	A	Hygrophila	0
CR	USR	10-2014	A	Hygrophila	0
CR	USR	04-2015	A	Hygrophila	23
CR	USR	10-2015	A	Hygrophila	0
CR	USR	04-2016	A	Hygrophila	0
CR	USR	10-2016	A	Hygrophila	0
CR	USR	04-2017	A	Hygrophila	0
CR	USR	10-2017	A	Hygrophila	0
CR	USR	04-2018	A	Hygrophila	0
CR	USR	10-2018	A	Hygrophila	0
CR	USR	04-2019	A	Hygrophila	0
CR	USR	10-2019	A	Hygrophila	0
CR	USR	04-2020	A	Hygrophila	0
CR	USR	10-2020	A	Hygrophila	0
CR	USR	04-2021	A	Hygrophila	0
CR	USR	10-2021	A	Hygrophila	0
CR	USR	04-2013	A	Ludwigia	15
CR	USR	10-2013	A	Ludwigia	4
CR	USR	04-2014	A	Ludwigia	5
CR	USR	10-2014	A	Ludwigia	0
CR	USR	04-2015	A	Ludwigia	5
CR	USR	10-2015	A	Ludwigia	6
CR	USR	04-2016	A	Ludwigia	10
